Verb,Beginning,Completion,DO/PO,Freaky,,,,,,,,,,,,,,,,,,,
sold, -The salesman sold,a car of which the price was 2990 dollars to a man.,PO,,,,,,,,,,,,,,,,,,,,
sold, -The woman sold,a t shirt .,X,,,,,,,,,,,,,,,,,,,,
sold, -The man sold,a hot dog with sausage to the girl who is buying a hot dog.,PO,,,,,,,,,,,,,,,,,,,,
sold, -The salesman sold,a car at 2990 dollars,X,,,,,,,,,,,,,,,,,,,,
sold, -The woman sold,T short ,X,,,,,,,,,,,,,,,,,,,,
sold, -The salesman sold,"an old car for 2,990 dollars to the man.",PO,,,,,,,,,,,,,,,,,,,,
sold, -The salesman sold,the car at 2990 dollars to the man,PO,,,,,,,,,,,,,,,,,,,,
sold, -The woman sold,t-shirt  to him,PO,Pronoun,,,,,,,,,,,,,,,,,,,
sold, -The woman sold,Shirt to guy,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
sold, -The man sold,sausages,X,,,,,,,,,,,,,,,,,,,,
sold, -The man sold,his hotdog,X,,,,,,,,,,,,,,,,,,,,
sold, -The salesman sold,a car for men who wearing a hat,X,,,,,,,,,,,,,,,,,,,,
sold, -The woman sold,A half sleeves shirts to customer,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
sold, -The salesman sold,a car to a man wearing hat at a price of $2990,PO,,,,,,,,,,,,,,,,,,,,
sold, -The salesman sold,a old car,X,,,,,,,,,,,,,,,,,,,,
sold, -The woman sold, shirts.,X,,,,,,,,,,,,,,,,,,,,
sold, -The man sold,hot dogs to the girl.,PO,,,,,,,,,,,,,,,,,,,,
threw, -The zookeeper threw,a banana to the monkey,PO,,,,,,,,,,,,,,,,,,,,
threw, -The woman threw,a bone to play with her dog,X,,,,,,,,,,,,,,,,,,,,
threw, -The boy threw,a baseball to a girl,PO,,,,,,,,,,,,,,,,,,,,
threw, -The boy threw,a baseball to a girl,PO,,,,,,,,,,,,,,,,,,,,
threw, -The woman threw,born to dog.,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
threw, -The zookeeper threw,banana to monkey.,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
threw, -The woman threw,the bone to the dog,PO,,,,,,,,,,,,,,,,,,,,
threw, -The zookeeper threw,a banana to the monkey,PO,,,,,,,,,,,,,,,,,,,,
threw, -The zookeeper threw,the banana,X,,,,,,,,,,,,,,,,,,,,
threw, -The boy threw,a ball to girl,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
threw, -The zookeeper threw,the banana to the monkey.,PO,,,,,,,,,,,,,,,,,,,,
threw, -The boy threw,tennis ball to his friend,PO,,,,,,,,,,,,,,,,,,,,
threw, -The zookeeper threw,the banana to the monkey.,PO,,,,,,,,,,,,,,,,,,,,
threw, -The woman threw,dog chewing gum for playing with her dog,X,,,,,,,,,,,,,,,,,,,,
threw, -The woman threw,a born to the dog.,PO,wrong spelling,,,,,,,,,,,,,,,,,,,
threw, -The woman threw,a born to her dog.,PO,wrong spelling,,,,,,,,,,,,,,,,,,,
threw, -The boy threw,a baseball to a girl.,PO,,,,,,,,,,,,,,,,,,,,
threw, -The zookeeper threw,a banana to a monkey.,PO,,,,,,,,,,,,,,,,,,,,
threw, -The woman threw,the bone to her dog that is trying to follow the bone.,PO,,,,,,,,,,,,,,,,,,,,
threw, -The boy threw,a ball to his partner,PO,,,,,,,,,,,,,,,,,,,,
threw, -The zookeeper threw,barnana to monkey,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
threw, -The boy threw,the girl a ball.,DO,,,,,,,,,,,,,,,,,,,,
threw, -The boy threw,a baseball to the girl who stands infront of him,PO,,,,,,,,,,,,,,,,,,,,
threw, -The zookeeper threw,banana to monkey,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
threw, -The zookeeper threw,Banana to monkey,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
threw, -The woman threw,a bone to a dog,PO,,,,,,,,,,,,,,,,,,,,
threw, -The woman threw,the bone for playing her doggy,PO,"word order = PO, no preposition",,,,,,,,,,,,,,,,,,,
threw, -The boy threw,ball and the girl ready to catch,X,,,,,,,,,,,,,,,,,,,,
threw, -The zookeeper threw,A banana to monkey,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
threw, -The boy threw,a baseball to his friend,PO,,,,,,,,,,,,,,,,,,,,
threw, -The boy threw,a ball to girl,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
threw, -The zookeeper threw,the banana to the monkey.,PO,,,,,,,,,,,,,,,,,,,,
threw, -The woman threw,a bone for her dog.,X,,,,,,,,,,,,,,,,,,,,
wrote, -The girl wrote,a fan letter,X,,,,,,,,,,,,,,,,,,,,
wrote, -The queen wrote,an invitation to her daughter,PO,,,,,,,,,,,,,,,,,,,,
wrote, -The boy wrote,text message to his girlfriend,PO,,,,,,,,,,,,,,,,,,,,
wrote, -The boy wrote,text message with his cell phone to a girl who looks like his girl friend,PO,,,,,,,,,,,,,,,,,,,,
wrote, -The queen wrote,mail to princess.,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
wrote, -The girl wrote,ryric.,X,,,,,,,,,,,,,,,,,,,,
wrote, -The queen wrote,a message for her daughter,PO,diff preposition,,,,,,,,,,,,,,,,,,,
wrote, -The girl wrote,the letter ,X,,,,,,,,,,,,,,,,,,,,
wrote, -The girl wrote,to star who is she like,X,,,,,,,,,,,,,,,,,,,,
wrote, -The boy wrote,message to a girl,PO,,,,,,,,,,,,,,,,,,,,
wrote, -The girl wrote,a letter thinking his fan.,X,,,,,,,,,,,,,,,,,,,,
wrote, -The boy wrote,a e-mail to girl,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
wrote, -The girl wrote,a letter thinking fan.,X,,,,,,,,,,,,,,,,,,,,
wrote, -The queen wrote,the card for her doughter,PO,diff preposition,,,,,,,,,,,,,,,,,,,
wrote, -The queen wrote,a letter to a princess.,PO,,,,,,,,,,,,,,,,,,,,
wrote, -The boy wrote,message girl,X,,,,,,,,,,,,,,,,,,,,
wrote, -The queen wrote,a letter to the princess.,PO,,,,,,,,,,,,,,,,,,,,
wrote, -The boy wrote,a text message to a girl friend.,PO,,,,,,,,,,,,,,,,,,,,
wrote, -The girl wrote,a letter to her favorite singer.,PO,,,,,,,,,,,,,,,,,,,,
wrote, -The queen wrote,the letter to her daughter who is a princess and have a pretty face.,PO,,,,,,,,,,,,,,,,,,,,
wrote, -The boy wrote,texts to his girlfriend,PO,,,,,,,,,,,,,,,,,,,,
wrote, -The girl wrote,pan letter ,X,,,,,,,,,,,,,,,,,,,,
wrote, -The boy wrote,a text message thinking about his girlfriend(or someone he liked).,X,,,,,,,,,,,,,,,,,,,,
wrote, -The boy wrote,a text message to his girlfriend,PO,,,,,,,,,,,,,,,,,,,,
wrote, -The girl wrote,letter to star.,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
wrote, -The girl wrote,Fan letter.,X,,,,,,,,,,,,,,,,,,,,
wrote, -The queen wrote,invitaion,X,,,,,,,,,,,,,,,,,,,,
wrote, -The queen wrote,letter to her daughter ,PO,,,,,,,,,,,,,,,,,,,,
wrote, -The boy wrote,some latter for his mother,PO,diff preposition,,,,,,,,,,,,,,,,,,,
wrote, -The girl wrote,A fan letter ,X,,,,,,,,,,,,,,,,,,,,
wrote, -The boy wrote,a messege to the girl whom he had fallen in love with,PO,,,,,,,,,,,,,,,,,,,,
wrote, -The boy wrote,a message to his girl friend,PO,,,,,,,,,,,,,,,,,,,,
wrote, -The girl wrote,a song.,X,,,,,,,,,,,,,,,,,,,,
wrote, -The queen wrote,a invitation card to her princess.,PO,,,,,,,,,,,,,,,,,,,,
