#,lemma,Verb form,Concordance,Hit?,Construction,comments,TA,FREAK,Coments
141,afford,affords,"Considerable teachers agreed with the fact that physical punishment affords them enough time to deal with bullies, while teaching class",1,DO,,simple_present,,
10784,give,gave,"Also, as I wanted to study German language and literature in university, he gave me lots of tipps",1,DO,,simple_past,,
10785,give,gave,"And when I went through a hard time, like when my Dad had fainted because of his cardiovascular problem, she gave me tons of advice and words from the Bible which really did help me enduring those hard times",1,DO,,simple_past,,
10786,give,gave,"After i read Anne Frank's diary, i also gave my diary a name ""Kitty""",1,DO,,simple_past,,
10788,give,gave,On my birthday he congratuated my birthday and also gave me a present,1,DO,,simple_past,,
10790,give,gave,"And when I applied for a science fair with my friends with a subject that I was unfamiliar with, she gave me a lot of help",1,DO,,simple_past,,
10791,give,gave,She also gave a lot of advices to me when I couldn't decide which university to go,1,PO,,simple_past,,
10792,give,gave,"Joo gave me lots of help and love, she is my favorite teacher in my high school",1,DO,,simple_past,,
10793,give,gave,"One day, she gave her necklace to me and said ""I really thank for your help so i want to give it to you",1,PO,,simple_past,,
10794,give,gave,"Once my team had difficulty to make experimental design, he gave us an amazing idea",1,DO,,simple_past,,
10795,give,gave,Because she gave me a lot of brave and wisdom,1,DO,,simple_past,,
10797,give,gave,The developement of the Internet technology gave the humas a lot of gains but there are also lots of problems,1,DO,,simple_past,,
10798,give,gave,He always listened carefully about my problems and gave me some advices that were very useful,1,DO,,simple_past,,
10799,give,gave,"When I did something wrong, he just gave me a smile",1,DO,,simple_past,,
10800,give,gave,"For example, she gave us snacks to wake us up, and explained deeply import point",1,DO,,simple_past,,
10802,give,gave,"Because everyone believed that they could get away with whatever they had said, the homepage became quite a mess and gave strangers visting it a very bad impression",1,DO,,simple_past,,
10803,give,gave,"This is beacause when I had a hard time in my first grade, he gave me a lot of advice and he is always kind to everyone",1,DO,,simple_past,,
10804,give,gave,"To begin with, when I wanted to give up the study and the school, he gave me much advice",1,DO,,simple_past,,
10805,give,gave,"Even though I wasn't fully good at it, simply trying to have a mathmetical brain structure gave me an ability such as going through the situations easily that I've never went through",1,DO,,simple_past,,
10806,give,gave,My mom gave it to me when I was first grade in high school,1,DO,,simple_past,,
10807,give,gave,"The reason why I like him is that he gave me good advices during whole high school life, even I went to next grade",1,DO,,simple_past,,
10808,give,gave,"When I had some trouble with study, He showed me the way how I study and, from time to time, he gave me serious words about routine life",1,DO,,simple_past,,
10809,give,gave,Teachers always gave them the physical punishment when they did bad,1,DO,,simple_past,,
10810,give,gave,Because he gave me so helpful advice when I had hard time about decide my future plan,1,DO,,simple_past,,
10811,give,gave,He asked all of my questions and also gave some good tips to do well in high school,1,DO,,simple_past,,
10812,give,gave,They gave many lessons to me,1,PO,,simple_past,,
10813,give,gave,"Finally,it gave motivation to me",1,PO,,simple_past,,
10814,give,gave,"When I gave my guitar to another person, my father promised to buy a new guitar for me when I finish the exam for going university",1,PO,,simple_past,,
10816,give,gave,"They couldn't afford to buy a wedding ring made of diamond or gold, so my father gave my mother a silver ring which means 'iternal love'",1,DO,,simple_past,,
10817,give,gave,"As a result, my family is now living a quite affluent life and of course, my father gave my mother a real diamond ring 10 years ago",1,DO,,simple_past,,
10818,give,gave,"I have eight aunts, but the aunt who gave me the pandent is my favorite aunt",1,DO,,simple_past,,
10822,give,gave,He always gave us good examples when he explains someting,1,DO,,simple_past,,
10825,give,gave,"But when this seasoning was eated, It gave me freshment",1,DO,,simple_past,,
10827,give,gave,"At this quiet scary and fricky moment, do we have to argue with this problem-going or not to military? If our country gave us shelters, foods and good relationships with other countries, it's our turn to pay back",1,DO,,simple_past,,
10828,give,gave,"Every time I needed her advice and help, she gave me good advice and courage",1,DO,,simple_past,,
10829,give,gave,"He always gave me advice, and it helped me a lot",1,DO,,simple_past,,
10830,give,gave,"they sometimes gave us physical punishment, but we think that they are right",1,DO,,simple_past,,
10831,give,gave,He also gave me some advices,1,DO,,simple_past,,
10832,give,gave,First reason is last year my older brother gave me this phone as a my birthday present,1,DO,,simple_past,,
10833,give,gave,It gave really big help to human have a very long life span like now,1,PO,,simple_past,,
10835,give,gave,"Also, he was my math teacher and I was interested in math, so he gave me lots of help in devloping my math skills",1,DO,,simple_past,,
10838,give,gave,"As a long traditional method of educating children, parents in Korea gave principles to their children in the form of physical punishment",1,PO,,simple_past,,
10840,give,gave,"Moreover, she gave me lots of advices how to make my life for myself",1,DO,,simple_past,,
10842,give,gave,"He was my class teacher, so he gave me many advice about my future and what major and college I should go",1,DO,,simple_past,,
10843,give,gave,Kim gave me many compliments I could have more confidence,1,DO,,simple_past,,
10844,give,gave,This experience gave me a of gamble addiction,1,DO,,simple_past,,
10845,give,gave,"In our history, parents gave the rods to teachers when their offsprings entered school",1,PO,,simple_past,,
10847,give,gave,"E class, she knew we were tired and gave us 10 minute rest before she started the lesson",1,DO,,simple_past,,
10848,give,gave,"On that day, a friend gave me a silver-colored ring",1,DO,,simple_past,,
10850,give,gave,"But she, Biology teacher, helped me really well, so I successfully finished my job as a leader and gave it to other freshman",1,PO,,simple_past,,
10851,give,gave,"He often gave us some math problems in math magazine, and made us solve it",1,DO,,simple_past,,
10852,give,gave,"When we solve it and gave him an answer, he submitted our solution on that magazine in our name",1,DO,,simple_past,,
10855,give,gave,"Because When I was highschool student, A history teacher gave me excitement about resent korea history",1,DO,,simple_past,,
10856,give,gave,"When I was seven-years-old girl, I made a ceramic jar and gave it to my mother",1,PO,,simple_past,,
10857,give,gave,"when i was financial problem, they gave me money-that's not small amount",1,DO,,simple_past,,
10858,give,gave,This is the thing that my father gave me at my birth,1,DO,,simple_past,,
10860,give,gave,"When my family has a difficult time, this picture gave some hope to my family",1,PO,,simple_past,,
10861,give,gave,Researchers gave plus and minus score to benefits and dangers of using cell phones while driving,1,PO,,simple_past,,
10864,give,gave,My teacher gave courage to me,1,PO,,simple_past,,
10865,give,gave,And when I've got trouble she always listen to me and gave me good advice,1,DO,,simple_past,,
10866,give,gave,Because it gave me not only good body but friends,1,DO,,simple_past,,
10868,give,gave,He gave me some vital power and led me in good way when I was down,1,DO,,simple_past,,
10869,give,gave,"Whenever I went to the principal's room, He always smiled at me, and he gave me some beverages",1,DO,,simple_past,,
10870,give,gave,"Secondly, he told me lots of valuable things such as how to be a good stuents, and gave me lots of advice",1,DO,,simple_past,,
10871,give,gave,"Yesterday, I gave her a letter",1,DO,,simple_past,,
10872,give,gave,"When I was middle student, My friend gave me a speaking that why you have to study",1,DO,,simple_past,,
10873,give,gave,"One day, homeroom teacher gave me a leaf shaped pendant and said it's symbol of luck for him so he'd want to give it to me",1,DO,,simple_past,,
10875,give,gave,"he gave me a word before, I never forget it",1,DO,,simple_past,,
10880,get,get,It has been well-known information that people near smokers would get very bad effects to their health,1,PO,,simple_present,,
11097,get,get,New medicines can get harm to people,1,PO,,infinitive,,
11857,get,get,"Firstly if one smokes, he can get the damage to other non smokers indirectly",1,PO,,infinitive,,
12110,get,get,The victims cann't even have any chance to agree to get damage to their health,1,PO,,infinitive,,
12608,give,give,"Also, we can give them chances to write paper which make them regret their acts themselves",1,DO,,infinitive,,
12612,give,give,"When they do not pursue teacher's message, teacher can give yellow card to students like soccer",1,PO,,infinitive,,
12613,give,give,"For the first thing, physical punishment can't give a lesson to the student who did wrong",1,PO,,infinitive,,
12614,give,give,The reason for punishment is to teach and give another chance to the student,1,PO,,infinitive,,
12615,give,give,However physical punishment doesn't give a student time to think about his or her own fault,1,DO,,simple_present,,
12617,give,give,To give student time to regret himself is really needs,1,DO,,infinitive,,
12619,give,give,"If a driver uses cellular phone, police and goverment give a very high fine to this drivers",1,PO,,simple_present,,
12620,give,give,It hurts the 'target' people and give them washless scretches in their hearts,1,DO,,simple_present,,
12621,give,give,I 'm sure that these cultures will give me a big impression and help me understand globalization more easily,1,DO,,simple_future,,
12622,give,give,"but when we see the news carefully, problem is serious enough to give teachers a power to take physical punishment",1,DO,,infinitive,,
12625,give,give,"Even though school give minus point to students who don`t follow school rules, students ignore rules and behave rude",1,PO,,simple_present,,
12626,give,give,But It give me a ripple,1,DO,,simple_present,,
12628,give,give,And the physical punishment give a child rocognization that the physical punishment is just a way of punishment,1,DO,,simple_present,,
12629,give,give,So we give bad score to students who aren't abide from school's regulation,1,PO,,simple_present,,
12633,give,give,"I will give it to my son, also",1,PO,,simple_future,,
12634,give,give,I think that all the teachers in the school have not right to give physical punishment to children,1,PO,,infinitive,,
12635,give,give,I am going to give the alternative to school,1,PO,,simple_future,,
12636,give,give,Teachers can give shiny star to children who have done nice behavior,1,PO,,infinitive,,
12637,give,give,Teachers can give the punishment to children with many dark stars,1,PO,,infinitive,,
12638,give,give,"If government give proper pay to them, I think there will be a bit lots of candinates",1,PO,,simple_present,,
12639,give,give,"In these reasons, we have to give teachers the right of punishing their students",1,DO,,infinitive,,
12640,give,give,"If they don't give a uncomfortable situation to non smoking people, I think that we would offer them to smoking place, which is part of whole building , where people smoke on freely",1,PO,,simple_present,,
12643,give,give,Because It cost no money and give us many opportunities to meet various people,1,DO,,simple_present,,
12644,give,give,So we shouldn't ignore a little thing what give us happier life,1,DO,,simple_present,,
12645,give,give,My family is always give me a big courage and love,1,DO,,simple_present,,
12647,give,give,"Reversely, I can give a word to my friend when he need my help",1,PO,,infinitive,,
12648,give,give,"If we give them a new chance that they study their favorite subject and make them work for their nation for a while, there should be more benefits than completing military service for all men",1,DO,,simple_present,,
12649,give,give,"Concequently, Korea can get the most powerful power in world since the mankind had been exist, 'the Knowlege ' So, I suggest that Korea government stop forcing all Korean men to complete military service, and give brains better chance of using their abilities to other good things",1,DO,,infinitive,,
12652,give,give,I want to give my regards to jesus christ for giving me such a good friend,1,PO,,present_progressive,,
12653,give,give,"Fourth, military service also give great education to men",1,PO,,simple_present,,
12654,give,give,"First, Smoking in building is very harmful of people and give disgusting smell or smoke to non-smokers",1,PO,,simple_present,,
12656,give,give,Militay service will give some experience that does not have common life to people,1,PO,,simple_future,,
12657,give,give,"Sure, the the teacher give student serious physical punishments is as bad as dream breaker",1,DO,,simple_present,,
12659,give,give,"At first, it can give bad effect to other people",1,PO,,infinitive,,
12660,give,give,He is not a perfect guy to give many precious advices to me but he is more optimistic than me and this chracter of him and the advice that he gives time to time makes me calm easily,1,PO,,infinitive,,
12663,give,give,Physical punishment can give us strong image,1,DO,,infinitive,,
12664,give,give,It is like throwing gold in river and give a gold neckress to the pig,1,PO,,simple_present,,
12665,give,give,I'll give thanks to him,1,PO,,simple_future,,
12666,give,give,"If animals die during the medical experoments, Who can reward the animal's life?? Who can give a reward to the animals??? There is no one who can reward to the animals who die because of used in medical experiments",1,PO,,infinitive,,
12668,give,give,"As a human, i like the teacher who give me the most interest",1,DO,,simple_present,,
12669,give,give,I want to give it to my daughter in the future as my mom did,1,PO,,infinitive,,
12670,give,give,Oh maybe I can give my future daughter my future husband's propose present for me,1,DO,,infinitive,,
12673,give,give,"A person's act is much affected by responsibility, so it is neccesary to give the responsibility of texting to the Internet users",1,PO,,infinitive,,
12674,give,give,Forcing is not the right answer to give the young men of Korea the mind to love their Nation,1,DO,,infinitive,,
12675,give,give,"In these situation, if Korea goverment give choice that to go or not to go to military service to Korean men, Korea's military service will loss their force",1,PO,,simple_present,,
12676,give,give,Second reason is that punishment is a efficient way for student to recognize that they did the wrong thing and give the reason to do good thing to student,1,PO,,infinitive,,
12677,give,give,"Finally, some would say that a little physical punishment give students a chance to regret and do better next time",1,DO,,simple_present,,
12678,give,give,"To solve the problem, we can give the teachers reasonable rules for the punishment",1,DO,,infinitive,,
12682,give,give,Animals give us many things,1,DO,,simple_present,,
12686,give,give,"For example, you read some terrible essay on the internet so you want to give that essay writer some advise but unfortunately he is your company boss",1,DO,,infinitive,,
12690,give,give,I think the physical punishment of student never give something teachers want to them,1,PO,,simple_present,,
12691,give,give,"Finally, the physical punishment of student give the worst thing to students, teachers, schools and society",1,PO,,simple_present,,
12694,give,give,Schools in Seoul are not allowed to give students physical punishment,1,DO,,infinitive,,
12695,give,give,In the other hand many teachers worried about this law because if they can not give physical punishment to students it would be harder to control their stundets,1,PO,,infinitive,,
12698,give,give,Banned smoking in public building will give smoking people some difficult time,1,DO,,simple_future,,
12699,give,give,But smoke may give other people difficult time too,1,DO,,infinitive,,
12702,give,give,"At this state, if you use cellular phone, you have to give attention to the cellular phone",1,PO,,infinitive,,
12704,give,give,"I can not give the teachers the right to harm children, and it is impossible to set the limit of the physical punishment",1,DO,,infinitive,,
12706,give,give,"I think physical punishment can be replaced with many other type of punishment first, instead of physical type, school can give bad students a social activitie so that they have feel sorry feeling about their act and they have meaningful time",1,DO,,infinitive,,
12707,give,give,"Second, school can give bad students some type of educational program",1,DO,,infinitive,,
12709,give,give,"so, teacher will give students rational and impartial physical punishments",1,DO,,simple_future,,
12710,give,give,"In the end, they give much property to poor country and use the people in that country",1,PO,,simple_present,,
12716,give,give,So they can give their private secrets or kind of stories to the wrong guy that must not been spoken outside,1,PO,,infinitive,,
12717,give,give,so they can mistakenly give their money to them,1,PO,,infinitive,,
12718,give,give,It seems like the smokers give their own stress to the non-smokers by smoking in public places,1,PO,,simple_present,,
12723,give,give,"so when students don't follow their teacher, teacher can give the physical punishment to their students",1,PO,,infinitive,,
12724,give,give,"I change my little parrot's water, and give it some food",1,DO,,simple_present,,
12726,give,give,My parents did not give me a present untill that time,1,DO,,simple_past,,
12727,give,give,"And I give it to my parents, saying LOVE YOU",1,PO,,simple_present,,
12729,give,give,"So, when I have trouble or I'm gloomy, they always give me energy",1,DO,,simple_present,,
12731,give,give,"So, I think we need the different ways to give punishment to children",1,PO,,infinitive,,
12736,give,give,"If they were forced to serve the service, it will give them too much pressure, and it might be able to give them another serious illness which can last for their whole lives",1,DO,,simple_future,,
12739,give,give,But when this thing couldn't less these situation than police officers have to catch all these drivers and give them a enormous fee so that they can't use cellular phones while driving next time,1,DO,,infinitive,,
12741,give,give,"but if we give them much money, People who want to job soldier are increase and they have much loyalty because they want to themselves to go military",1,DO,,simple_present,,
12742,give,give,"Physical punishment, however, can't give students the chance to think about their misbehaviors in the quiet manner",1,DO,,infinitive,,
12745,give,give,I hope I can be a scientist in future who can give benefits to people with my study in DNA,1,PO,,infinitive,,
12746,give,give,"Including saturday, weekend give us time to do something that we can't do working weekdays",1,DO,,simple_present,,
12747,give,give,She usually help and give a direactions to me to go right way for student when i am with her in school,1,PO,,simple_present,,
12750,give,give,The commanders today can not give their soldiers any insulment or punisment without reason,1,DO,,infinitive,,
12751,give,give,"With a short time, it can give children a strong impression in a one hit",1,DO,,infinitive,,
12755,give,give,Meeting vary people's custom give me understanding korea's custom which make me have abroaden visual and ideal,1,DO,,simple_present,,
12759,give,give,Physical punishment will give big humiliation and psycological shock to them,1,PO,,simple_future,,
12760,give,give,Physical treatment done by teachers will give children long-lasting hurts and worsen the children's behavior without any improvement on their education,1,DO,,simple_future,,
12763,give,give,"Second reason, teaching not just give knowledge to student",1,PO,,simple_present,,
12764,give,give,"In schools, teachers often give physical punishment to their students because of lack of concentration, not doing their homeworks and so many reasons",1,PO,,simple_present,,
12765,give,give,"Many student didn't give a attention to teacher, didn't follow a direction of teacher, even say a bad word to teacher",1,PO,,simple_past,,
12766,give,give,"Although she often reprimanded me, she sometimes tried to give me comfort by buying me lunch outside the school",1,DO,,infinitive,,
12767,give,give,This people must go to police office whether they give money to attacked person or go to room which had made iron stick,1,PO,,simple_present,,
12768,give,give,"In America, they don't give students punishment",1,DO,,simple_present,,
12770,give,give,"When student violated rule, teacher who saw that give the student minus point(or punishment point)",1,DO,,simple_present,,
12771,give,give,"Second, Goverment must give a plus-point to Korean men who completed millitary service",1,PO,,infinitive,,
12773,give,give,but punishment give nothing to me in growing,1,PO,,simple_present,,
12776,give,give,and give him dangourous fire like bomb,1,DO,,simple_present,,
12777,give,give,I love that way ! I will give pysical punishment to my son !! :( I hate my english abillity too !!! give pyshical punishment to my english,1,PO,,simple_future,,
12780,give,give,and if i solve that problem it give me good feeling,1,DO,,simple_present,,
12783,give,give,The passengers in the car can give attention to the driver,1,PO,,infinitive,,
12784,give,give,I can give you three reasons for not allowing physical punishment,1,DO,,infinitive,,
12785,give,give,It can give us a chance to speak frankly,1,DO,,infinitive,,
12786,give,give,And then there is no need to give a punishment to students,1,PO,,infinitive,,
12787,give,give,"They are very good 'life' who give a hand to us in improving human's life and we must always give thanks to those animals because if they don't help us, we kill thousand of people to make a drug that cure the flu and medical service would be very high prices so we cannot use that",1,PO,,simple_present,,
12788,give,give,"Some people argue that when students in school have done really bad things like smoking or bullying classmates, it is justified to give them some physical punishment",1,DO,,infinitive,,
12789,give,give,"And the second, my best friends give me comport",1,DO,,simple_present,,
12790,give,give,"Some people insist that instead the physical punishment, teachers can just have conversation or give points which are bed to student",1,PO,,simple_present,,
12791,give,give,"So to speak, we can make the range of fort and follow the range, give some purnishment to student",1,PO,,simple_present,,
12793,give,give,we should give them many chances over and over again because they are so young and in the way to adult,1,DO,,infinitive,,
12795,give,give,"My dad`s sister`s husband(sorry I don`t know right word) is US Army and he live kensas when I graduate so I could go there with little money cause he give me bed and tasty food, everything",1,DO,,simple_present,,
12796,give,give,"because today, they get 80000 won for a month and I think this is too cheep If the number diminished, military could give them more money and could upgrade military stuffs",1,DO,,infinitive,,
12797,give,give,"Because I am tired of studying for entrance university test, My parents give me a time to fresh my mentality",1,DO,,simple_present,,
12798,give,give,smoking cannot give advantage to other person,1,PO,,infinitive,,
12799,give,give,"it can give a damage to baby, pragnant woman and child",1,PO,,infinitive,,
12800,give,give,but building can give smoking area to smoking people,1,PO,,infinitive,,
12803,give,give,And they seldom give me physical punishment,1,DO,,simple_present,,
12804,give,give,"Like I said, my parents seldom give me physical punishment",1,DO,,simple_present,,
12813,give,give,"When i make big mistake, he don't hesistate to give me a advice",1,DO,,infinitive,,
12818,give,give,"Most people think physics is very hard, but I like to conquer that subject because it give me victorious feeling",1,DO,,simple_present,,
12819,give,give,The first reason is that children will get pain if teachers give physical punishments to them,1,PO,,simple_future,,
12820,give,give,"Because of that , at first, teachers give punish to children make them study well but finally, the punish was bad solution to children",1,PO,,simple_present,,
12821,give,give,"When teachers give physical punishment to children, almost of them have scratuer in their mind",1,PO,,simple_present,,
12822,give,give,"Moreover, if children's parents know that their sons or dauthers had physical punishments, they will call to police to give more big punishments to teachers such that president of schools talk to the teachers to quit that school",1,PO,,infinitive,,
12825,give,give,This give horse a chance to try more work,1,DO,,simple_present,,
12826,give,give,therefore teacher have to punish students to give students a chance to be a good man to sociaty,1,DO,,infinitive,,
12827,give,give,he always give us free time to play soccer or play basketball but another PEteacher is not give us free time so i like my second grade class teacher ,1,DO,,simple_present,,
12831,give,give,"He give me a lot of help, so I can lose my weight in short time",1,DO,,simple_present,,
12832,give,give,"For example, In 2010, Seoul education department start teacher to no hit and they give penalty to student like 'Don't go to school",1,PO,,simple_present,,
12834,give,give,I think these monuments will make me proud and give me hope that someday we can beat Japan,1,DO,,simple_future,,
12836,give,give,It can give a chance to North Korea to attack South Korea easiliy,1,PO,,infinitive,,
12837,give,give,"First of all, Now is time for Korea to give power to a military force",1,PO,,infinitive,,
12839,give,give,"In that case, it must be scientifically, cleanly proved by a investigating organization so that they can give effort to them or their surroundings",1,PO,,infinitive,,
12840,give,give,That's why we shouldn't give a 'YES' sign to smokers who want to smoke anywhere at anytime when they want,1,PO,,infinitive,,
12841,give,give,"But when we give a green light to smokers who smoke in public buldings, They might understand like this way; Smoking is Okay anywhere cause It is not a bad activity",1,PO,,simple_present,,
12843,give,give,"After the show finished, the manager give the audiences a question",1,DO,,simple_present,,
12846,give,give,"First, physical punishment can give children warning",1,DO,,infinitive,,
12847,give,give,"Because of this, teacher must give children physical punishment",1,DO,,infinitive,,
12849,give,give,"And then, give award to the best of students",1,PO,,simple_present,,
12850,give,give,To give them fear by physical punishment is not the only solution,1,DO,,infinitive,,
12851,give,give,I teach some students and they give me some prensent,1,DO,,simple_present,,
12852,give,give,"at first time I don't want to take my time to teach others but at last I'm so happy about my teaching some people, and I can give them good advice",1,DO,,infinitive,,
12853,give,give,they give us some food and clothes,1,DO,,simple_present,,
12854,give,give,"If some animals use us in medical experiments, take a shot give medicine to us and use knife to cut our body",1,PO,,simple_present,,
12856,give,give,"Last, he give me much advice to live society",1,DO,,simple_present,,
12857,give,give,He often told funny story that give me rest time,1,DO,,simple_present,,
12858,give,give,"However, every pictures of past time usually give us good feeling",1,DO,,simple_present,,
12860,give,give,First reason is it give more accurative attention to class,1,PO,,simple_present,,
12861,give,give,So it is accurative to give attention to class,1,PO,,infinitive,,
12862,give,give,Second reason is Physical punishment is not mean to give them hurt,1,DO,,infinitive,,
12863,give,give,Teacher give oral punishment to student it could have effect but they don't understand why they are wrong because of their age,1,PO,,simple_present,,
12864,give,give,So we should give a little hard purnishment to student to just stop to do wrong thing,1,PO,,infinitive,,
12865,give,give,If teachers have this mind and those several reasons it can be allowed to give physical punishment to students,1,PO,,infinitive,,
12867,give,give,The desire to find the medicine of cancer can't give us the justice of these experiments,1,DO,,infinitive,,
12870,give,give,"Then, give them a chance to replace their duty with other kinds of social duties",1,DO,,simple_present,,
12872,give,give,"Especially seeing the fact that traumatic memory in childhood can be serious problem not only in childhood but also in adulthood, corporal punishmet that can turn irrational and can give the punished child serious traumatic memory shouldn't be permited",1,DO,,infinitive,,
12873,give,give,One can give bad impression to others because of this unuseful smell which he or she doesn't any reponsibility,1,PO,,infinitive,,
12874,give,give,"So in the elementry school, teachers don't have to give them physical punishment",1,DO,,infinitive,,
12876,give,give,"If teachers give students physical punishment in those ways, students will admit about the punishment, and their life would be better",1,DO,,simple_present,,
12881,give,give,This unexpected experience is most important thing in my vacation and give me a lot of enjoyable time,1,DO,,simple_present,,
12883,give,give,"Nowadays, the issue that teachers give their students physical punishment is a hot potato",1,DO,,simple_present,,
12884,give,give,"If we have proper law to give teacher power, students would think teachers are in higher position than them, they could be rules abiding students",1,DO,,infinitive,,
12886,give,give,We all must give our children the world where they can live in peace as we did,1,DO,,infinitive,,
12887,give,give,"Surely, they have duties as young healthy men, but it`s right to exempt them and to give them welfare",1,DO,,infinitive,,
12888,give,give,Experimenting on them would give us big unimaginable merits,1,DO,,infinitive,,
12889,give,give,If smoking in the public building give them a ticket for paying fee,1,DO,,simple_present,,
12891,give,give,"Ordinary punishment means give suffer to students without using physical punishment by making them to write sorry sentenses for hundreds of time, or call to their parants, like that",1,PO,,simple_present,,
12893,give,give,We shouldn't give them pressure,1,DO,,infinitive,,
12895,give,give,I will give you two reasons why I feel this way,1,DO,,simple_future,,
12898,give,give,Because the teacher give me studying direction correctly so I can study harder than ever,1,DO,,simple_present,,
12899,give,give,"That is not good for workers who work in the building and surly give visitors of the building not good image, and even more they do not want to visit the building next time",1,DO,,simple_present,,
12901,give,give,So Korea must give advantage to men anything else,1,PO,,infinitive,,
12902,give,give,"This means when students didn't allow the rule, instead of punishment, teachers give them a precaution like yellow card in soccer",1,DO,,simple_present,,
12904,give,give,"Many people in the world loved animals and think animals are family and think animals must not be used in medical experiments but I think that amimals be used in medical experiments Because I think the a person is the first and a animlas is the second We think the world where there isn't the anmials medical experiments If in the world there was not animals experiment, now we are worried about the sick and medical success wasn't For example in the past ADIS was not healed and we think ADIS peple must have been died but now though the it wasn't perfect, we heal many ADIS people And at the past we died simple sick but now we heal At the experiment we don't put the virus in the people because it's dangerous many people died for the experiments We usually watched animal experiments in TV so we watch the experimnet and we dicide For example I watched one experimnets in TV In the experiments people give mice cigaratte so mice were died I watched that program and thought I must not smoke so i think animals be used in medical experiments ",1,DO,,simple_present,,
12905,give,give,"So when he got a baby, I give some baby clothes to my teacher",1,PO,,simple_past,,
12906,give,give,But Je-ju Island didn't give me a incredible impact,1,DO,,simple_past,,
12907,give,give,"but there are people who continue to smoke, then public buildings have to give them penalty or give him warning",1,DO,,infinitive,,
12910,give,give,And my favorite good point is that he give me good advice when I have done wrong thing or something bad,1,DO,,simple_present,,
12912,give,give,"If some teacher give such students physical punishment, they can't but going bad",1,DO,,simple_present,,
12913,give,give,So I think before we think physical punishment we give our futures(students) chance that they want to do the thing they want to do,1,DO,,simple_present,,
12915,give,give,The last thing that we must use the fake name is It can give us rights to do a freely criticize,1,DO,,infinitive,,
12916,give,give,I want to give the ring to my baby,1,PO,,infinitive,,
12919,give,give,"But, these punishments give me a strain so I was not lazy and I was respectful to teacher and friends",1,DO,,simple_present,,
12921,give,give,We don't have legal force but we can give harmful to someone,1,PO,,infinitive,,
12922,give,give,Also using them we can give lots of help to animals when they have serious pain or they are in bad situation that can not be solved before new skills are developed,1,PO,,infinitive,,
12924,give,give,"That is, if women is stronger and healthier than men, the country should give duty to women",1,DO,,infinitive,,
12926,give,give,Country should not give them a duty,1,DO,,infinitive,,
12927,give,give,Some people think that being anoymous can give us freedom of Internet using,1,DO,,infinitive,,
12928,give,give,"So they make some rules to control students, and they give 'Point' to students who don't follow the rules",1,PO,,simple_present,,
12929,give,give,"But, because physical punishment is banned, teacher just give him a bad 'point'",1,DO,,simple_present,,
12930,give,give,I like her very much because she is my first teacher in high school and give me a warm heart,1,DO,,simple_present,,
12931,give,give,"So i tried to give her what i was raised, that makes me here",1,DO,,infinitive,,
12934,give,give,"First, the teacher can give more homework to the student who has the problem",1,PO,,infinitive,,
12936,give,give,"If I need a silience, they give me the silience",1,DO,,simple_present,,
12937,give,give,"If I need a embracement, they give me the embracement",1,DO,,simple_present,,
12939,give,give,"If the students commit the bad job, but, teachers don't give physical punishment to students",1,PO,,simple_present,,
12940,give,give,"In that way, I want to give them a dream and happy life",1,DO,,infinitive,,
12941,give,give,The teacher give me some sheets of papers and they were written by English,1,DO,,simple_present,,
12942,give,give,He give me some advice,1,DO,,simple_present,,
12943,give,give,"So, teachers give them passion, instead of punishment",1,DO,,simple_present,,
12944,give,give,"Because this experiment is good result for people sometimes, but some cases, this test will give people serious impact",1,DO,,simple_present,,
12949,give,give,They give painful experience to animals only when it is need for experiments,1,PO,,simple_present,,
12950,give,give,"Poor, my family couldn't give children extra class",1,DO,,infinitive,,
12952,give,give,"And whenever I go wrong path in life street, my father, mother, home-room teacher, even my older sister used to give some physical punishment to me",1,PO,,infinitive,,
12953,give,give,"So when parents, teacher, or someone who have duty for children going to give physical punishment to the children, they should remember the reason of that punishment to the child is that he/she loves that child so much that they cannot just watch the regretful mistakes are made by our valuable children",1,PO,,simple_present,,
12954,give,give,"And if parents have this loving-child mind when they give physical punishment to their child, the child also won't misunderstand the meaning of that physical punishment",1,PO,,simple_present,,
12956,give,give,"However, smoking in the street also give harms to others",1,PO,,simple_present,,
12957,give,give,So smoking outside can also give harms to others,1,PO,,simple_present,,
12958,give,give,He is very considerate that he always give considerations to other people,1,PO,,simple_present,,
12959,give,give,And I also know that banning smoking is a necessary thing to do because it can give other people discomfortable feelings,1,DO,,infinitive,,
12962,give,give,So men who have this religion go to prison controlled by army instead of being the one who give efforts to some cruel and harsh action,1,PO,,simple_present,,
12964,give,give,"He laughs all the time, and he give me a lot of it too",1,DO,,simple_present,,
12965,give,give,"And he has many good things, but the best thing is he give me a lot of advices when I am deperate",1,DO,,simple_present,,
12966,give,give,For example people who are against completing military service should clean the roads and public instutions or give help to the old for a much more time than completing military service,1,PO,,infinitive,,
12967,give,give,"But one day, my home teacher give me a chance to study in 'the highest class'",1,DO,,simple_present,,
12968,give,give,"And when we (me and my friends) have a good score in the test, he always give our a cookies",1,DO,,simple_present,,
12970,give,give,"If the points that the student received are over the level decided by school, a teacher can give some disadvantages to the student",1,PO,,infinitive,,
12973,give,give,"In brief, because of the fact that physical punishment can give bad effect to children and the possibility that other better ways can replace it, I disagree with the physical punishment in schools",1,PO,,infinitive,,
12974,give,give,And she also give me advices so that I can control myself,1,DO,,simple_present,,
